date|mask|band|dither|star|star_slit|star_cols|path
2013apr18|GOODSN-Mask1 Science|Y|1.25|y|753,793|842,853|/run/media/aibhleog/eve_lily/observing-keck/
2014mar14|GOODSN_H|H|1.25|y|574,609|874,879|/run/media/aibhleog/eve_lily/observing-keck/
2014mar15|GOODSN_H|H|1.25|y|574,609|874,879|/run/media/aibhleog/eve_lily/observing-keck/
2014mar25|GOODSN_H_v4|H|1.25|y|574,609|874,879|/run/media/aibhleog/eve_lily/observing-keck/
2017apr18|GOODSN_2017A_H|H|1.5|y|360,439|464,469|/run/media/aibhleog/eve_lily/observing-keck/
2018apr25|EGSMask1|J|1.25|y|1729,1766|972,982|/run/media/aibhleog/eve_lily/observing-keck/
2018nov25|UDS_2018B_J|J|1.5|y|92,173|810,815|/run/media/aibhleog/eve_lily/observing-keck/
2018nov25|COSMOS_MOSFIRE_2018_J|J|1.25|y|1197,1234|676,681|/run/media/aibhleog/eve_lily/observing-keck/
2018dec12|UDS_MOSFIRE_2018B_2|J|1.25|y|92,173|810,815|/run/media/aibhleog/eve_lily/observing-keck/
2018dec12|COSMOS_MOSFIRE_2018B_2|J|1.25|y|1197,1234|676,681|/run/media/aibhleog/eve_lily/observing-keck/
2019mar26|EGS_2019A_J_1|J|1.25|y|1639,1720|1004,1012|/run/media/aibhleog/eve_lily/observing-keck/
2019mar27|EGS_2019A_J_2|J|1.25|y|1195,1279|914,924|/run/media/aibhleog/eve_lily/observing-keck/
2019mar28|EGS_2019A_J_2-2|J|1.25|y|1195,1279|914,924|/run/media/aibhleog/eve_lily/observing-keck/
2019mar29|EGS_2019A_J_2-3|J|1.25|y|1195,1279|914,924|/run/media/aibhleog/eve_lily/observing-keck/
